pagename,post_id,comment_id,comment
nytimes,5281959998_10151310132129999,10151310132129999_10151310161854999,Very very very very very very good
nytimes,5281959998_1919850988232414,1919850988232414_1919926214891558,I'm guessing that's not a pharmacology doctorate you're working on
nytimes,5281959998_1918679185016261,1918679185016261_769160043286227,Hehehe you like it ? ;)
nytimes,5281959998_1917763905107789,1917763905107789_1917969905087189,There is a wishlist in Amazon.com.mx for Cruz Roja mexicana (mexican red Cross) where you can buy things that Amazon will deliver to Cruz Roja forma helping the people in need because of the earthquake.
nytimes,5281959998_10151308484864999,10151308484864999_10151308499554999,"So, still can't charge & listen to music via earphone, right?"
nytimes,5281959998_10151311025844999,10151311025844999_10151311436644999,Interesting C# in Metamorphosis 2.
nytimes,5281959998_10151309605854999,10151309605854999_127608954562125,23 down basalt
nytimes,5281959998_1921423154741864,1921423154741864_1921842661366580,Julie B. Stupp
nytimes,5281959998_1919439628273550,1919439628273550_1919474181603428,Like the white supremacists are the ones who ruined Germany and the rest of Europe. Lol
nytimes,5281959998_184073478804176,184073478804176_426488394414216,Sarah Stickle McGuire thought you'd find th inner ear/acceleration part interesting
nytimes,5281959998_1918679185016261,1918679185016261_1918991748318338,"We were there last June (two weeks before the terrorist attack on the promenade) the French Riviera is gorgeous, Nice beautiful and lively. Willl get there again, next year :)"
nytimes,5281959998_1919439628273550,1919439628273550_1919609784923201,"Ahhh Globalism. The Shangri'la of all the theory driven, textbook touting, self appointed international social engineers. Unfortunately - they forget - it's all about people, and reality. Two things they never think about because they have no concept of it."
nytimes,5281959998_10151309605854999,10151309605854999_10151309610129999,hottest
nytimes,5281959998_1920170831533763,1920170831533763_1920510258166487,"The world is watching but also God the almighty, he cares and is going to take action soon"
nytimes,5281959998_1918679185016261,1918679185016261_175557309676693,hahahaha :* :*
nytimes,5281959998_1918679185016261,1918679185016261_1918945551656291,Hortense Colin 
nytimes,5281959998_1918601078357405,1918601078357405_1918721058345407,Jada Smith
nytimes,5281959998_132791174027617,132791174027617_132913897348678,Bixo Luis Raguzzoni
nytimes,5281959998_10151311025844999,10151311025844999_127058961354746,I am taking you on our honeymoon and will play your music over a Croatian sunset xxxx
nytimes,5281959998_184073478804176,184073478804176_184129168798607,Alyson Hayden Haley Azevedo Lauren Mottles
nytimes,5281959998_10151311025844999,10151311025844999_1919041575003130,Awesome
nytimes,5281959998_1918601078357405,1918601078357405_1987693661489253,Vallecas 
nytimes,5281959998_10151309605854999,10151309605854999_202035087003207,59a pie shell
nytimes,5281959998_1918601078357405,1918601078357405_177370006165680,"Love the idea of showing a travel format with timestamps, i need to do this for Japan "
nytimes,5281959998_10151309605854999,10151309605854999_326336721170596,Wigs
nytimes,5281959998_1919439628273550,1919439628273550_1919452634938916,"Peter Paul he’s right, you know"
nytimes,5281959998_10151315045359999,10151315045359999_10151315056779999,Return to Forever-my all time favorite jazz group.
nytimes,5281959998_1918601078357405,1918601078357405_1918673265016853,Ella Turner I'm going in Jan!!! Let's go back together tinyyyy xx
nytimes,5281959998_10151315045359999,10151315045359999_10151315081254999,do you teach piano'
nytimes,5281959998_1918601078357405,1918601078357405_1918687271682119,went this summer and ADORED it! cannot wait to go back!
nytimes,5281959998_10151309605854999,10151309605854999_1444329578954175,UEY
nytimes,5281959998_1918601078357405,1918601078357405_1918783541672492,Tanusha Chernova
nytimes,5281959998_10151316451979999,10151316451979999_10151316688569999,Anyone here actually work in high tech or software?
nytimes,5281959998_1921423154741864,1921423154741864_1921494991401347,Gerri Marie - this is the brand of the shirt I was wearing the other day
nytimes,5281959998_1918601078357405,1918601078357405_1918695851681261,Pepe Zakner noch eins 
nytimes,5281959998_1919194918298021,1919194918298021_1919355811615265,Gori Na
nytimes,5281959998_1918601078357405,1918601078357405_181989055707156,Carolina InWonderland memories 
nytimes,5281959998_1921423154741864,1921423154741864_1921736784710501,Maryam
nytimes,5281959998_132791174027617,132791174027617_133013860672015,National cassowary day?
nytimes,5281959998_1918960548321458,1918960548321458_1918985294985650,"I wish i could be there to help , very sorry......"
nytimes,5281959998_10151316451979999,10151316451979999_10151316565264999,"Unifying the workplace and working together should not be so difficult, it's changing people's attitudes and opinions that is the biggest hurdle"
nytimes,5281959998_184073478804176,184073478804176_184107478800776,Mariel Ziperski Laura Zeiler
nytimes,5281959998_1918679185016261,1918679185016261_498995787144162,Önder Şafak Leo Diaz
nytimes,5281959998_1918731105011069,1918731105011069_1918963434987836,"Stupid, just stupid"
nytimes,5281959998_10151309605854999,10151309605854999_675104479350059,52 across Helen
nytimes,5281959998_1918679185016261,1918679185016261_266779953830931,he kept following us!! hahahha so many chickpea pancakes they were appalled
nytimes,5281959998_1918679185016261,1918679185016261_1929829437342631,J'ai l'impression qu'on pourra jamais y retourner tranquillement. what about camping tho ??
nytimes,5281959998_1918141541736692,1918141541736692_1918273951723451,"I am a Virgin Islander. We, like Puerto Ricans, are American citizens. We fight, die, and bleed for this country. We need help.  The U.S. Virgin Islands just suffered TWO category 5 hurricanes in as many weeks. The USVI has lost everything.   https://www.usvirecovery.org  After Hurricane Irma, the amazing People of PR were the first on the scene to help the USVI.  Now, they too have suffered a tremendous loss. As they stood with us, I stand with PR.  https://www.fcpr.org/   #VIstrong"
nytimes,5281959998_184073478804176,184073478804176_184117792133078,Zaheera Abed why did this make me think of you? 
nytimes,5281959998_10151308484864999,10151308484864999_10151308667234999,I use Iphone for 3 months but i realised that android is a big freedom.You can't use your phone and applications as you want at Iphone.You can't put a special map to your main screen or your favourite call.Finding gps is so hard.Open to 3G and 4G is so hard too.Android is freedom
nytimes,5281959998_1918601078357405,1918601078357405_295924994223281,Forget the winery come to me
nytimes,5281959998_1919520494932130,1919520494932130_1919745848242928,"Guess you missed it. The Trumps million dollar donation to Hurricane Harvey victims has been made and verified by the recipients. Don't know about attorney fees, have to wait for facts. http://thehill.com/homenews/administration/350999-trump-makes-good-on-pledge-to-donate-to-harvey-relief"
nytimes,5281959998_10151311025844999,10151311025844999_10151311034514999,Listening from I-5 between Portland and Salem. I am a passenger not driving.
nytimes,5281959998_1918268465057333,1918268465057333_1918307251720121,Heartbroken for these families.
nytimes,5281959998_10151315045359999,10151315045359999_10151315055409999,The best
nytimes,5281959998_184073478804176,184073478804176_297708600636876,Kira Krick  Karen Theer Juliette Marie Tzeli Sorrentino   There's so much about this I love.  No wonder I always love being in motion! Now I know the scientific reason 
