"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Input.pagename","Input.post_id","Input.comment_id","Input.comment","Answer.Language","Answer.question","Approve","Reject"
"30F94FBDNR3N42QEULKISHZM0G9BT5","3TAMZSB5GQN1EGA6C5OLWP7GSLEQX7","Measure civility in news discussions through personal attacks","In this HIT we will ask you to read a comment from a Facebook conversation and judge whether the comment includes a personal attack. Please select all that apply (at least one should)","news discussions, facebook comments, classification","$0.10","Thu Oct 05 09:26:32 PDT 2017","3","BatchId:2961491;OriginalHitTemplateId:920937336;","3600","259200","Thu Oct 12 09:26:32 PDT 2017","","","3JCG6DTRV4A02CY5M1SE6LELML6QQ0","A20ALQT1HIVSAH","Submitted","Thu Oct 05 09:27:45 PDT 2017","Thu Oct 05 09:27:57 PDT 2017","Sun Oct 08 09:27:57 PDT 2017","","","","12","0% (0/0)","0% (0/0)","0% (0/0)","nytimes","5281959998_1919439628273550","1919439628273550_1922623777955135","Holger Ha Bubu Randalino Chino Carlito ‍","nytimes|5281959998_1919439628273550|1919439628273550_1922623777955135|Holger Ha Bubu Randalino Chino Carlito ‍","6"
"30F94FBDNR3N42QEULKISHZM0G9BT5","3TAMZSB5GQN1EGA6C5OLWP7GSLEQX7","Measure civility in news discussions through personal attacks","In this HIT we will ask you to read a comment from a Facebook conversation and judge whether the comment includes a personal attack. Please select all that apply (at least one should)","news discussions, facebook comments, classification","$0.10","Thu Oct 05 09:26:32 PDT 2017","3","BatchId:2961491;OriginalHitTemplateId:920937336;","3600","259200","Thu Oct 12 09:26:32 PDT 2017","","","3LOTDFNYA8J8VK4IKUGQMBST3KFFW0","A2YO837C0O1E91","Submitted","Thu Oct 05 09:27:52 PDT 2017","Thu Oct 05 09:28:44 PDT 2017","Sun Oct 08 09:28:44 PDT 2017","","","","52","0% (0/0)","0% (0/0)","0% (0/0)","nytimes","5281959998_1919439628273550","1919439628273550_1922623777955135","Holger Ha Bubu Randalino Chino Carlito ‍","nytimes|5281959998_1919439628273550|1919439628273550_1922623777955135|Holger Ha Bubu Randalino Chino Carlito ‍","6"
"30F94FBDNR3N42QEULKISHZM0G9BT5","3TAMZSB5GQN1EGA6C5OLWP7GSLEQX7","Measure civility in news discussions through personal attacks","In this HIT we will ask you to read a comment from a Facebook conversation and judge whether the comment includes a personal attack. Please select all that apply (at least one should)","news discussions, facebook comments, classification","$0.10","Thu Oct 05 09:26:32 PDT 2017","3","BatchId:2961491;OriginalHitTemplateId:920937336;","3600","259200","Thu Oct 12 09:26:32 PDT 2017","","","3MMN5BL1W0OHAWUBWX91C4152SW3MO","A1EQ2HDHF2WWSY","Submitted","Thu Oct 05 09:27:50 PDT 2017","Thu Oct 05 09:34:10 PDT 2017","Sun Oct 08 09:34:10 PDT 2017","","","","380","0% (0/0)","0% (0/0)","0% (0/0)","nytimes","5281959998_1919439628273550","1919439628273550_1922623777955135","Holger Ha Bubu Randalino Chino Carlito ‍","nytimes|5281959998_1919439628273550|1919439628273550_1922623777955135|Holger Ha Bubu Randalino Chino Carlito ‍","6"
"30OITAWPBQMEB0KMW7PXNS181MBH9R","3TAMZSB5GQN1EGA6C5OLWP7GSLEQX7","Measure civility in news discussions through personal attacks","In this HIT we will ask you to read a comment from a Facebook conversation and judge whether the comment includes a personal attack. Please select all that apply (at least one should)","news discussions, facebook comments, classification","$0.10","Thu Oct 05 09:26:31 PDT 2017","3","BatchId:2961491;OriginalHitTemplateId:920937336;","3600","259200","Thu Oct 12 09:26:31 PDT 2017","","","3180JW2OT5WUN3BU7JK2B978CUS5JC","ABMPX2Y2IRBMG","Submitted","Thu Oct 05 09:27:56 PDT 2017","Thu Oct 05 09:48:14 PDT 2017","Sun Oct 08 09:48:14 PDT 2017","","","","1218","0% (0/0)","0% (0/0)","0% (0/0)","nytimes","5281959998_10151316451979999","10151316451979999_10151316688569999","Anyone here actually work in high tech or software?","nytimes|5281959998_10151316451979999|10151316451979999_10151316688569999|Anyone here actually work in high tech or software?","5"
"30OITAWPBQMEB0KMW7PXNS181MBH9R","3TAMZSB5GQN1EGA6C5OLWP7GSLEQX7","Measure civility in news discussions through personal attacks","In this HIT we will ask you to read a comment from a Facebook conversation and judge whether the comment includes a personal attack. Please select all that apply (at least one should)","news discussions, facebook comments, classification","$0.10","Thu Oct 05 09:26:31 PDT 2017","3","BatchId:2961491;OriginalHitTemplateId:920937336;","3600","259200","Thu Oct 12 09:26:31 PDT 2017","","","3KXIR214I50CLO9MMTV070FDANB42J","A1OKNQ2JEXW34Q","Submitted","Thu Oct 05 09:28:49 PDT 2017","Thu Oct 05 09:30:44 PDT 2017","Sun Oct 08 09:30:44 PDT 2017","","","","115","0% (0/0)","0% (0/0)","0% (0/0)","nytimes","5281959998_10151316451979999","10151316451979999_10151316688569999","Anyone here actually work in high tech or software?","nytimes|5281959998_10151316451979999|10151316451979999_10151316688569999|Anyone here actually work in high tech or software?","5"
"30OITAWPBQMEB0KMW7PXNS181MBH9R","3TAMZSB5GQN1EGA6C5OLWP7GSLEQX7","Measure civility in news discussions through personal attacks","In this HIT we will ask you to read a comment from a Facebook conversation and judge whether the comment includes a personal attack. Please select all that apply (at least one should)","news discussions, facebook comments, classification","$0.10","Thu Oct 05 09:26:31 PDT 2017","3","BatchId:2961491;OriginalHitTemplateId:920937336;","3600","259200","Thu Oct 12 09:26:31 PDT 2017","","","3LO69W1SU4XYYQOER0F6VLBP6SBLGC","A9K0CV70JWG1W","Submitted","Thu Oct 05 09:28:05 PDT 2017","Thu Oct 05 09:31:01 PDT 2017","Sun Oct 08 09:31:01 PDT 2017","","","","176","0% (0/0)","0% (0/0)","0% (0/0)","nytimes","5281959998_10151316451979999","10151316451979999_10151316688569999","Anyone here actually work in high tech or software?","nytimes|5281959998_10151316451979999|10151316451979999_10151316688569999|Anyone here actually work in high tech or software?","5"
"30UZJB2POHVGG5BBEWNE7IVWWLA53H","3TAMZSB5GQN1EGA6C5OLWP7GSLEQX7","Measure civility in news discussions through personal attacks","In this HIT we will ask you to read a comment from a Facebook conversation and judge whether the comment includes a personal attack. Please select all that apply (at least one should)","news discussions, facebook comments, classification","$0.10","Thu Oct 05 09:26:32 PDT 2017","3","BatchId:2961491;OriginalHitTemplateId:920937336;","3600","259200","Thu Oct 12 09:26:32 PDT 2017","","","33CUSNVVNOWOQ4YDEDUEY38LY9Z88X","A177EXELDLWTWV","Submitted","Thu Oct 05 09:27:48 PDT 2017","Thu Oct 05 09:29:59 PDT 2017","Sun Oct 08 09:29:59 PDT 2017","","","","131","0% (0/0)","0% (0/0)","0% (0/0)","nytimes","5281959998_132791174027617","132791174027617_132960227344045","Mmmmm!!!!! Deliii!!","nytimes|5281959998_132791174027617|132791174027617_132960227344045|Mmmmm!!!!! Deliii!!","5"
"30UZJB2POHVGG5BBEWNE7IVWWLA53H","3TAMZSB5GQN1EGA6C5OLWP7GSLEQX7","Measure civility in news discussions through personal attacks","In this HIT we will ask you to read a comment from a Facebook conversation and judge whether the comment includes a personal attack. Please select all that apply (at least one should)","news discussions, facebook comments, classification","$0.10","Thu Oct 05 09:26:32 PDT 2017","3","BatchId:2961491;OriginalHitTemplateId:920937336;","3600","259200","Thu Oct 12 09:26:32 PDT 2017","","","39K0FND3AIZHUHTW5COBZCFB82OAMR","A2T5CROJ0FWIJY","Submitted","Thu Oct 05 09:27:50 PDT 2017","Thu Oct 05 09:31:37 PDT 2017","Sun Oct 08 09:31:37 PDT 2017","","","","227","0% (0/0)","0% (0/0)","0% (0/0)","nytimes","5281959998_132791174027617","132791174027617_132960227344045","Mmmmm!!!!! Deliii!!","nytimes|5281959998_132791174027617|132791174027617_132960227344045|Mmmmm!!!!! Deliii!!","5"
"30UZJB2POHVGG5BBEWNE7IVWWLA53H","3TAMZSB5GQN1EGA6C5OLWP7GSLEQX7","Measure civility in news discussions through personal attacks","In this HIT we will ask you to read a comment from a Facebook conversation and judge whether the comment includes a personal attack. Please select all that apply (at least one should)","news discussions, facebook comments, classification","$0.10","Thu Oct 05 09:26:32 PDT 2017","3","BatchId:2961491;OriginalHitTemplateId:920937336;","3600","259200","Thu Oct 12 09:26:32 PDT 2017","","","3VSOLARPKCT23CBH7O5W7IVL2TP39P","A3UWM3KJYEL5XU","Submitted","Thu Oct 05 09:27:38 PDT 2017","Thu Oct 05 09:28:09 PDT 2017","Sun Oct 08 09:28:09 PDT 2017","","","","31","0% (0/0)","0% (0/0)","0% (0/0)","nytimes","5281959998_132791174027617","132791174027617_132960227344045","Mmmmm!!!!! Deliii!!","nytimes|5281959998_132791174027617|132791174027617_132960227344045|Mmmmm!!!!! Deliii!!","5"
"31YWE12TE0V7J7W8ME9ZCIYWUM5X7N","3TAMZSB5GQN1EGA6C5OLWP7GSLEQX7","Measure civility in news discussions through personal attacks","In this HIT we will ask you to read a comment from a Facebook conversation and judge whether the comment includes a personal attack. Please select all that apply (at least one should)","news discussions, facebook comments, classification","$0.10","Thu Oct 05 09:26:30 PDT 2017","3","BatchId:2961491;OriginalHitTemplateId:920937336;","3600","259200","Thu Oct 12 09:26:30 PDT 2017","","","39L1G8WVWRBKE78M3BQ3SCD24H131G","A15FXHC1CVNW31","Submitted","Thu Oct 05 09:27:23 PDT 2017","Thu Oct 05 09:27:28 PDT 2017","Sun Oct 08 09:27:28 PDT 2017","","","","5","0% (0/0)","0% (0/0)","0% (0/0)","nytimes","5281959998_184073478804176","184073478804176_184129168798607","Alyson Hayden Haley Azevedo Lauren Mottles","nytimes|5281959998_184073478804176|184073478804176_184129168798607|Alyson Hayden Haley Azevedo Lauren Mottles","5"
